Device,36,40,44,48,52,56,60,64,100,104,108,112,116,120,124,128,132,136,140,144,149,153,157,161,165,SS,.11,MU-MIMO,.11v,Link,Region,Version,Max Tx,OWE,SAE,.11w,Cap. Chan.,Notes
Mac Mini 2018,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,3,ac,N,N,PCAP,US, Firmware Version: Feb 28 2020 15:24:56 version 9.30.357.35.32.5.47 FWID 01-9ce4adf3,18,,,Y,36,
Macbook Air Mid 2011,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,n,,,PCAP,US,Mid-2011,15,,,,36,Does not advertise RSN capabilities
Macbook Air Early 2014,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,,,PCAP,US,Early-2014,,,,,112,Advertises max Tx of 224 dBm
Macbook Air Early 2015,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,,PCAP,US,Early-2015 - 10.11.2,,,,,64,
Macbook Air 13-inch 2018,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,,PCAP,US,,21,,,,36,
Macbook Air 13-inch 2020,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,N,PCAP,US,,22,,,,157,
Macbook,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,2,n,,,PCAP,US,"late 2006 - 2,1 OSX 10.6.8",15,,,,64,
Macbook Pro - Retina,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,3,n,,,PCAP,US,Mid-2012,,,,,36,Advertises max Tx of 224 dBm. Does not advertise RSN capabilities
Macbook Pro - Retina,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,3,ac,,,PCAP,US,Mid-2014,,,,,36,
Macbook Pro - Retina,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,3,ac,N,,PCAP,US,Mid-2015,,,,,,
Macbook Pro 2017 Touchbar,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,3,ac,N,N,PCAP,APAC,10.13.3,,,,,,
Macbook Pro 2017 No Touch,,,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,2,ac,N,N,PCAP,APAC,10.13.5,,,,,,
Macbook Pro 2018 Touchbar,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,3,ac,N,N,PCAP,US,,20,,,,100,
"Macbook Pro 2019 16""",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,3,ac,N,N,PCAP,US,,20,,,Y,100,
Microsoft Lumia 950,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,Y,Y,PCAP,US,,25,,,,52,
Microsoft SurfaceBook,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,18,,,,,
Microsoft Surface Pro2,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,n,,,PCAP,US,,12,,,,149,"this article sais ""no"" but association req. frame says yes."
Microsoft Surface Pro3,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,ac,,,PCAP,US,,18,,,,36,
Microsoft Surface Pro4,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,/,/,/,/,/,/,2,ac,N,,PCAP,EU,,18,,,,,
Microsoft Surface Pro6,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,18,,,,36,
Mitel 5624,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,n,,,,US,,10,,,,44,
Moto E (2nd Gen),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,n,,Y,PCAP,EU,5.0.2,,,,,1,2.4GHz Only
Moto G4,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1,n,,,PCAP,US,,17,,,,,
Moto X (1st Gen),Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,?,,,,,PCAP,US,,,,,,,
Moto X (2nd Gen),Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,ac,,Y,PCAP,US,,18,,,Y,All-chan,Supports .11k. Does not advertise RSN capabilities
Moto X (3rd Gen),Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,,Y,PCAP,US,,24,,,Y,48,
Moto X Play (3rd Gen),Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,/,/,/,/,/,/,1,n,N,,PCAP,EU,6.0.1,17,,,,36,
Moto Z Force,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,Y,Y,PCAP,US,,24,,,,132,
Moto Z Play,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1,n,N,Y,PCAP,US,XT1635-02,16,,,,44,
Motorola MC920N,,,,,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,n,,,PCAP,US,,25,,,,36,
NETSCOUT 802.11ac USB,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3,ac,?,N,PCAP,EU,,,,,,36,Does not advertise channels support. Capture in .11n BSS - can't discern MU support
Nexus S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,n,,,PCAP,EU,,16,,,,1,
Nexus 10,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,?,,,,,PCAP,US,,,,,,,Yes in HW. SW limited
Nexus 5,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,1,ac,,,PCAP,US,,,,,,36,Advertises max Tx of 224 dBm
Nexus 5,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,/,/,/,/,/,/,1,,,,PCAP,EU,LP,,,,,100,
Nexus 5X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,Y,,PCAP,US,,24,,,,144,
Nexus 6,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,17,,,Y,153,
Nexus 6P,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N*,Y,Y,Y,Y,Y,2,ac,,Y,PCAP,US,,,,,Y,,Suspect no advertised support of 144 is bug. Will confirm.
Nexus 6P,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,/,/,/,/,/,/,2,ac,N,Y,PCAP,EU,7.1.1,,,,Y,64,
Nexus 7,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,?,,,,,PCAP,US,<4.2,,,,,,Comment 31 https://code.google.com/p/android/issues/detail?id=59502
Nexus 7,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,?,,,,,PCAP,US,>4.3,,,,,,
